idx psi rho log_likelihood
375 1.6 0.8225 -512990.53
376 1.71 0.7775 -3882.949
377 2.03 0.8075 -357304.44
378 4.4 0.8225 -512990.53
379 1.6 0.8225 -512990.53
380 1.71 0.7775 -3882.949
381 2.03 0.8075 -357304.44
382 4.4 0.8225 -512990.53
383 1.6 0.8225 -512990.53
384 1.71 0.7775 -3882.949
385 2.03 0.8075 -357304.44
386 4.4 0.8225 -512990.53
387 1.6 0.8225 -512990.53
388 1.71 0.7775 -3882.949
389 2.03 0.8075 -357304.44
390 4.4 0.8225 -512990.53
391 1.6 0.8225 -512990.53
392 1.71 0.7775 -3882.949
393 2.03 0.8075 -357304.44
394 4.4 0.8225 -512990.53
395 1.6 0.8225 -512990.53
396 1.71 0.7775 -3882.949
397 2.03 0.8075 -357304.44
398 4.4 0.8225 -512990.53
399 1.6 0.8225 -512990.53
400 1.71 0.7775 -3882.949
401 2.03 0.8075 -357304.44
402 4.4 0.8225 -512990.53
403 1.6 0.8225 -512990.53
404 1.71 0.7775 -3882.949
405 2.03 0.8075 -357304.44
406 4.4 0.8225 -512990.53
407 1.6 0.8225 -512990.53
408 1.71 0.7775 -3882.949
409 2.03 0.8075 -357304.44
410 4.4 0.8225 -512990.53
411 1.6 0.8225 -512990.53
412 1.71 0.7775 -3882.949
413 2.03 0.8075 -357304.44
414 4.4 0.8225 -512990.53
415 1.6 0.8225 -512990.53
416 1.71 0.7775 -3882.949
417 2.03 0.8075 -357304.44
418 4.4 0.8225 -512990.53
419 1.6 0.8225 -512990.53
420 1.71 0.7775 -3882.949
421 2.03 0.8075 -357304.44
422 4.4 0.8225 -512990.53
423 1.6 0.8225 -512990.53
424 1.71 0.7775 -3882.949
425 2.03 0.8075 -357304.44
426 4.4 0.8225 -512990.53
427 1.6 0.8225 -512990.53
428 1.71 0.7775 -3882.949
429 2.03 0.8075 -357304.44
430 4.4 0.8225 -512990.53
431 1.6 0.8225 -512990.53
432 1.71 0.7775 -3882.949
433 2.03 0.8075 -357304.44
434 4.4 0.8225 -512990.53
435 1.6 0.8225 -512990.53
436 1.71 0.7775 -3882.949
437 2.03 0.8075 -357304.44
438 4.4 0.8225 -512990.53
439 1.6 0.8225 -512990.53
440 1.71 0.7775 -3882.949
441 2.03 0.8075 -357304.44
442 4.4 0.8225 -512990.53
443 1.6 0.8225 -512990.53
444 1.71 0.7775 -3882.949
445 2.03 0.8075 -357304.44
446 4.4 0.8225 -512990.53
447 1.6 0.8225 -512990.53
448 1.71 0.7775 -3882.949
449 2.03 0.8075 -357304.44
450 4.4 0.8225 -512990.53
451 1.6 0.8225 -512990.53
452 1.71 0.7775 -3882.949
453 2.03 0.8075 -357304.44
454 4.4 0.8225 -512990.53
455 1.6 0.8225 -512990.53
456 1.71 0.7775 -3882.949
457 2.03 0.8075 -357304.44
458 4.4 0.8225 -512990.53
459 1.6 0.8225 -512990.53
460 1.71 0.7775 -3882.949
461 2.03 0.8075 -357304.44
462 4.4 0.8225 -512990.53
463 1.6 0.8225 -512990.53
464 1.71 0.7775 -3882.949
465 2.03 0.8075 -357304.44
466 4.4 0.8225 -512990.53
467 1.6 0.8225 -512990.53
468 1.71 0.7775 -3882.949
469 2.03 0.8075 -357304.44
470 4.4 0.8225 -512990.53
471 1.6 0.8225 -512990.53
472 1.71 0.7775 -3882.949
473 2.03 0.8075 -357304.44
474 4.4 0.8225 -512990.53
475 1.6 0.8225 -512990.53
476 1.71 0.7775 -3882.949
477 2.03 0.8075 -357304.44
478 4.4 0.8225 -512990.53
479 1.6 0.8225 -512990.53
480 1.71 0.7775 -3882.949
481 2.03 0.8075 -357304.44
482 4.4 0.8225 -512990.53
483 1.6 0.8225 -512990.53
484 1.71 0.7775 -3882.949
485 2.03 0.8075 -357304.44
486 4.4 0.8225 -512990.53
487 1.6 0.8225 -512990.53
488 1.71 0.7775 -3882.949
489 2.03 0.8075 -357304.44
490 4.4 0.8225 -512990.53
491 1.6 0.8225 -512990.53
492 1.71 0.7775 -3882.949
493 2.03 0.8075 -357304.44
494 4.4 0.8225 -512990.53
495 1.6 0.8225 -512990.53
496 1.71 0.7775 -3882.949
497 2.03 0.8075 -357304.44
498 4.4 0.8225 -512990.53
499 1.6 0.8225 -512990.53
500 1.71 0.7775 -3882.949
501 2.03 0.8075 -357304.44
502 4.4 0.8225 -512990.53
503 1.6 0.8225 -512990.53
504 1.71 0.7775 -3882.949
505 2.03 0.8075 -357304.44
506 4.4 0.8225 -512990.53
507 1.6 0.8225 -512990.53
508 1.71 0.7775 -3882.949
509 2.03 0.8075 -357304.44
510 4.4 0.8225 -512990.53
511 1.6 0.8225 -512990.53
512 1.71 0.7775 -3882.949
513 2.03 0.8075 -357304.44
514 4.4 0.8225 -512990.53
515 1.6 0.8225 -512990.53
516 1.71 0.7775 -3882.949
517 2.03 0.8075 -357304.44
518 4.4 0.8225 -512990.53
519 1.6 0.8225 -512990.53
520 1.71 0.7775 -3882.949
521 2.03 0.8075 -357304.44
522 4.4 0.8225 -512990.53
523 1.6 0.8225 -512990.53
524 1.71 0.7775 -3882.949
525 2.03 0.8075 -357304.44
526 4.4 0.8225 -512990.53
527 1.6 0.8225 -512990.53
528 1.71 0.7775 -3882.949
529 2.03 0.8075 -357304.44
530 4.4 0.8225 -512990.53
531 1.6 0.8225 -512990.53
532 1.71 0.7775 -3882.949
533 2.03 0.8075 -357304.44
534 4.4 0.8225 -512990.53
535 1.6 0.8225 -512990.53
536 1.71 0.7775 -3882.949
537 2.03 0.8075 -357304.44
538 4.4 0.8225 -512990.53
539 1.6 0.8225 -512990.53
540 1.71 0.7775 -3882.949
541 2.03 0.8075 -357304.44
542 4.4 0.8225 -512990.53
543 1.6 0.8225 -512990.53
544 1.71 0.7775 -3882.949
545 2.03 0.8075 -357304.44
546 4.4 0.8225 -512990.53
547 1.6 0.8225 -512990.53
548 1.71 0.7775 -3882.949
549 2.03 0.8075 -357304.44
550 4.4 0.8225 -512990.53
551 1.6 0.8225 -512990.53
552 1.71 0.7775 -3882.949
553 2.03 0.8075 -357304.44
554 4.4 0.8225 -512990.53
555 1.6 0.8225 -512990.53
556 1.71 0.7775 -3882.949
557 2.03 0.8075 -357304.44
558 4.4 0.8225 -512990.53
559 1.6 0.8225 -512990.53
560 1.71 0.7775 -3882.949
561 2.03 0.8075 -357304.44
562 4.4 0.8225 -512990.53
563 1.6 0.8225 -512990.53
564 1.71 0.7775 -3882.949
565 2.03 0.8075 -357304.44
566 4.4 0.8225 -512990.53
567 1.6 0.8225 -512990.53
568 1.71 0.7775 -3882.949
569 2.03 0.8075 -357304.44
570 4.4 0.8225 -512990.53
571 1.6 0.8225 -512990.53
572 1.71 0.7775 -3882.949
573 2.03 0.8075 -357304.44
574 4.4 0.8225 -512990.53
575 1.6 0.8225 -512990.53
576 1.71 0.7775 -3882.949
577 2.03 0.8075 -357304.44
578 4.4 0.8225 -512990.53
579 1.6 0.8225 -512990.53
580 1.71 0.7775 -3882.949
581 2.03 0.8075 -357304.44
582 4.4 0.8225 -512990.53
583 1.6 0.8225 -512990.53
584 1.71 0.7775 -3882.949
585 2.03 0.8075 -357304.44
586 4.4 0.8225 -512990.53
587 1.6 0.8225 -512990.53
588 1.71 0.7775 -3882.949
589 2.03 0.8075 -357304.44
590 4.4 0.8225 -512990.53
591 1.6 0.8225 -512990.53
592 1.71 0.7775 -3882.949
593 2.03 0.8075 -357304.44
594 4.4 0.8225 -512990.53
595 1.6 0.8225 -512990.53
596 1.71 0.7775 -3882.949
597 2.03 0.8075 -357304.44
598 4.4 0.8225 -512990.53
599 1.6 0.8225 -512990.53
600 1.71 0.7775 -3882.949
601 2.03 0.8075 -357304.44
602 4.4 0.8225 -512990.53
603 1.6 0.8225 -512990.53
604 1.71 0.7775 -3882.949
605 2.03 0.8075 -357304.44
606 4.4 0.8225 -512990.53
607 1.6 0.8225 -512990.53
608 1.71 0.7775 -3882.949
609 2.03 0.8075 -357304.44
610 4.4 0.8225 -512990.53
611 1.6 0.8225 -512990.53
612 1.71 0.7775 -3882.949
613 2.03 0.8075 -357304.44
614 4.4 0.8225 -512990.53
615 1.6 0.8225 -512990.53
616 1.71 0.7775 -3882.949
617 2.03 0.8075 -357304.44
618 4.4 0.8225 -512990.53
619 1.6 0.8225 -512990.53
620 1.71 0.7775 -3882.949
621 2.03 0.8075 -357304.44
622 4.4 0.8225 -512990.53
623 1.6 0.8225 -512990.53
624 1.71 0.7775 -3882.949
625 2.03 0.8075 -357304.44
626 4.4 0.8225 -512990.53
627 1.6 0.8225 -512990.53
628 1.71 0.7775 -3882.949
629 2.03 0.8075 -357304.44
630 4.4 0.8225 -512990.53
631 1.6 0.8225 -512990.53
632 1.71 0.7775 -3882.949
633 2.03 0.8075 -357304.44
634 4.4 0.8225 -512990.53
635 1.6 0.8225 -512990.53
636 1.71 0.7775 -3882.949
637 2.03 0.8075 -357304.44
638 4.4 0.8225 -512990.53
639 1.6 0.8225 -512990.53
640 1.71 0.7775 -3882.949
641 2.03 0.8075 -357304.44
642 4.4 0.8225 -512990.53
643 1.6 0.8225 -512990.53
644 1.71 0.7775 -3882.949
645 2.03 0.8075 -357304.44
646 4.4 0.8225 -512990.53
647 1.6 0.8225 -512990.53
648 1.71 0.7775 -3882.949
649 2.03 0.8075 -357304.44
650 4.4 0.8225 -512990.53
651 1.6 0.8225 -512990.53
